"FREQ","Vout"
10,0.337583
12.58925412,0.337584
15.84893192,0.337584
19.95262315,0.337585
25.11886432,0.337586
31.6227766,0.337588
39.81071706,0.337591
50.11872336,0.337596
63.09573445,0.337604
79.43282347,0.337617
100,0.337636
125.8925412,0.337668
158.4893192,0.337718
199.5262315,0.337796
251.1886432,0.337921
316.227766,0.338119
398.1071706,0.338433
501.1872336,0.33893
630.9573445,0.339718
794.3282347,0.340967
1000,0.342947
1258.925412,0.346084
1584.893192,0.351056
1995.262315,0.358937
2511.886432,0.371427
3162.27766,0.391225
3981.071706,0.422612
5011.872336,0.4724
6309.573445,0.551473
7943.282347,0.677379
10000,0.878615
12589.25412,1.19811
15848.93192,1.59229
19952.62315,-0.821998
25118.86432,-13.874
31622.7766,-29.7267
39810.71706,-45.7399
50118.72336,-61.7908
63095.73445,-77.8712
79432.82347,-93.9914
100000,-110.173
125892.5412,-126.448
158489.3192,-142.857
199526.2315,-159.433
251188.6432,-176.114
316227.766,-192.416
398107.1706,-200
501187.2336,-200
630957.3445,-200
794328.2347,-200
1000000,-200
1258925.412,-200
1584893.192,-200
1995262.315,-200
2511886.432,-200
3162277.66,-200
3981071.706,-200
5011872.336,-200
6309573.445,-200
7943282.347,-200
10000000,-200
